sessionid,query_desc,total,time,categorycode,campo_utilizado,sintaxis,cant_campos_utilizados,problema_detectado
8e638794cbe2cf74a8f53c2f210359fc,"kw,wrdl: bc7229, ",0,2023-09-14 12:46:28,HIST,kw,bc7229,1,error de tipeo
8e638794cbe2cf74a8f53c2f210359fc,"bc:7229, ",0,2023-09-14 12:46:38,HIST,bc,7229,1,no hay resultados
99625f94946b3c059ceb7695621d7834,"kw,wrdl: libro de precalculo, ",0,2023-10-17 15:50:00,BIBLIOTECA,kw,libro de precalculo,1,error de tipeo
2435e2ba3347aa8c29c8675602cd310b,"kw,wrdl: whiten, ",0,2023-11-09 08:46:00,BIBLIOTECA,kw,whiten,1,error de tipeo
2435e2ba3347aa8c29c8675602cd310b,"kw,wrdl: libro de quimica para primer año, ",0,2023-11-09 08:49:00,BIBLIOTECA,kw,libro de quimica para primer año,1,error de tipeo
2435e2ba3347aa8c29c8675602cd310b,"kw,wrdl: libro de quimica general e inorganica, ",0,2023-11-09 08:50:00,BIBLIOTECA,kw,libro de quimica general e inorganica,1,error de tipeo
2435e2ba3347aa8c29c8675602cd310b,"kw,wrdl: libro de quimica general inorganica, ",0,2023-11-09 08:50:00,BIBLIOTECA,kw,libro de quimica general inorganica,1,error de tipeo
8d0003b0a197872e9d2c2d252ea3aadb,"kw,wrdl: 43616364, ",0,2023-11-15 04:46:07,BIBLIOTECA,kw,43616364,1,error de tipeo
e331afc089cb3b4d84c02545cab6cf93,"kw,wrdl: chrchill, ",0,2023-11-30 11:25:23,BIBLIOTECA,kw,chrchill,1,error de tipeo
0023391f58d5de5bc6bbd70071b74b0e,"kw,wrdl: saladin, ",0,2023-12-11 15:04:00,BIBLIOTECA,kw,saladin,1,no hay resultados
702ae8e8040813d41024164ba1f3847d,"kw,wrdl: cadena de transporte de electrones, ",0,2023-12-14 11:35:41,BIBLIOTECA,kw,cadena de transporte de electrones,1,no hay resultados
